Latest Year,UNICEF Reporting Region,Level,Stratifier,Female Value,Gender Gap,Male Value,Value
2014,East Asia and Pacific,Second,WIQ,,0,,53.6
2015,East Asia and Pacific,Second,WIQ,,0,,51.1
2016,East Asia and Pacific,Second,WIQ,,0,,54.1
2016,East Asia and Pacific,Second,WIQ,,0,,55.2
2017,East Asia and Pacific,Second,WIQ,,0,,49.6
2017,East Asia and Pacific,Second,WIQ,,0,,43.6
2018,East Asia and Pacific,Second,WIQ,,0,,33
2019,East Asia and Pacific,Second,WIQ,,0,,64.5
2000,East Asia and Pacific,Rural,Area,,0,,10.6
2003,East Asia and Pacific,Rural,Area,,0,,47.3
2005,East Asia and Pacific,Rural,Area,,0,,9.7
2006,East Asia and Pacific,Rural,Area,,0,,13.3
2007,East Asia and Pacific,Rural,Area,,0,,57.6
2010,East Asia and Pacific,Rural,Area,,0,,2.3
2012,East Asia and Pacific,Rural,Area,,0,,65.8
2014,East Asia and Pacific,Rural,Area,,0,,40.8
2016,East Asia and Pacific,Rural,Area,,0,,73.6
2017,East Asia and Pacific,Rural,Area,,0,,79.1
2018,East Asia and Pacific,Rural,Area,,0,,45.5
2021,East Asia and Pacific,Rural,Area,,0,,53.1
2022,East Asia and Pacific,Rural,Area,,0,,3.4
2000,East Asia and Pacific,Urban,Area,,0,,7.4
2003,East Asia and Pacific,Urban,Area,,0,,54.6
2005,East Asia and Pacific,Urban,Area,,0,,13.3
2006,East Asia and Pacific,Urban,Area,,0,,4.2
2007,East Asia and Pacific,Urban,Area,,0,,59.1
2010,East Asia and Pacific,Urban,Area,,0,,7.1
2012,East Asia and Pacific,Urban,Area,,0,,63.2
2014,East Asia and Pacific,Urban,Area,,0,,52.7
2016,East Asia and Pacific,Urban,Area,,0,,64.8
2017,East Asia and Pacific,Urban,Area,,0,,80.4
2018,East Asia and Pacific,Urban,Area,,0,,44.7
2021,East Asia and Pacific,Urban,Area,,0,,60.1
2022,East Asia and Pacific,Urban,Area,,0,,3
2000,East Asia and Pacific,None,Mother's Education,,0,,50
2003,East Asia and Pacific,None,Mother's Education,,0,,31.7
2005,East Asia and Pacific,None,Mother's Education,,0,,15
2006,East Asia and Pacific,None,Mother's Education,,0,,20.5
2007,East Asia and Pacific,None,Mother's Education,,0,,45.6
2010,East Asia and Pacific,None,Mother's Education,,0,,3.7
2012,East Asia and Pacific,None,Mother's Education,,0,,54.6
2017,East Asia and Pacific,None,Mother's Education,,0,,55.5
2000,East Asia and Pacific,Primary,Mother's Education,,0,,8.1
2003,East Asia and Pacific,Primary,Mother's Education,,0,,49.5
2006,East Asia and Pacific,Primary,Mother's Education,,0,,11.3
2007,East Asia and Pacific,Primary,Mother's Education,,0,,52.3
2010,East Asia and Pacific,Primary,Mother's Education,,0,,5.4
2012,East Asia and Pacific,Primary,Mother's Education,,0,,66.3
2016,East Asia and Pacific,Primary,Mother's Education,,0,,74.3
2017,East Asia and Pacific,Primary,Mother's Education,,0,,81.8
2000,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,8.4
2003,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,55
2005,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,12.1
2006,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,9.6
2007,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,64.8
2010,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,4.8
2012,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,64
2014,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,45.2
2016,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,62.7
2021,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,55.3
2017,East Asia and Pacific,Sec & Higher,Mother's Education,,0,,79.2
2000,East Asia and Pacific,National,National,,0,,9
2003,East Asia and Pacific,National,National,,0,,50.8
2005,East Asia and Pacific,National,National,,0,,11.1
2006,East Asia and Pacific,National,National,,0,,10.9
2007,East Asia and Pacific,National,National,,0,,58.2
2010,East Asia and Pacific,National,National,,0,,4.8
2012,East Asia and Pacific,National,National,,0,,64.6
2014,East Asia and Pacific,National,National,,0,,46.8
2016,East Asia and Pacific,National,National,,0,,70.7
2016,East Asia and Pacific,National,National,,0,,99.6
2017,East Asia and Pacific,National,National,,0,,99.5
2017,East Asia and Pacific,National,National,,0,,79.7
2018,East Asia and Pacific,National,National,,0,,51.3
2020,East Asia and Pacific,National,National,,0,,55.2
2021,East Asia and Pacific,National,National,,0,,57.3
2022,East Asia and Pacific,National,National,,0,,3.1
2000,East Asia and Pacific,Female,Sex,11.3,11.3,,11.3
2003,East Asia and Pacific,Female,Sex,52.7,52.7,,52.7
2005,East Asia and Pacific,Female,Sex,10,10,,10
2006,East Asia and Pacific,Female,Sex,8.5,8.5,,8.5
2007,East Asia and Pacific,Female,Sex,57.4,57.4,,57.4
2010,East Asia and Pacific,Female,Sex,2.3,2.3,,2.3
2012,East Asia and Pacific,Female,Sex,62.5,62.5,,62.5
2014,East Asia and Pacific,Female,Sex,44.3,44.3,,44.3
2016,East Asia and Pacific,Female,Sex,67.1,67.1,,67.1
2017,East Asia and Pacific,Female,Sex,81.3,81.3,,81.3
2018,East Asia and Pacific,Female,Sex,50.9,50.9,,50.9
2020,East Asia and Pacific,Female,Sex,47,47,,47
2021,East Asia and Pacific,Female,Sex,61.9,61.9,,61.9
2022,East Asia and Pacific,Female,Sex,3,3,,3
2000,East Asia and Pacific,Male,Sex,,6.8,6.8,6.8
2003,East Asia and Pacific,Male,Sex,,49,49,49
2005,East Asia and Pacific,Male,Sex,,11.9,11.9,11.9
2006,East Asia and Pacific,Male,Sex,,12.9,12.9,12.9
2007,East Asia and Pacific,Male,Sex,,58.8,58.8,58.8
2010,East Asia and Pacific,Male,Sex,,6.9,6.9,6.9
2012,East Asia and Pacific,Male,Sex,,66.3,66.3,66.3
2014,East Asia and Pacific,Male,Sex,,49.2,49.2,49.2
2016,East Asia and Pacific,Male,Sex,,73.8,73.8,73.8
2017,East Asia and Pacific,Male,Sex,,78.3,78.3,78.3
2018,East Asia and Pacific,Male,Sex,,51.6,51.6,51.6
2020,East Asia and Pacific,Male,Sex,,59.8,59.8,59.8
2021,East Asia and Pacific,Male,Sex,,54.3,54.3,54.3
2022,East Asia and Pacific,Male,Sex,,3.2,3.2,3.2
2000,East Asia and Pacific,Fourth,WIQ,,0,,11.6
2003,East Asia and Pacific,Fourth,WIQ,,0,,66.5
2005,East Asia and Pacific,Fourth,WIQ,,0,,6.6
2006,East Asia and Pacific,Fourth,WIQ,,0,,9
2007,East Asia and Pacific,Fourth,WIQ,,0,,63.4
2012,East Asia and Pacific,Fourth,WIQ,,0,,65
2014,East Asia and Pacific,Fourth,WIQ,,0,,48.7
2016,East Asia and Pacific,Fourth,WIQ,,0,,66.2
2017,East Asia and Pacific,Fourth,WIQ,,0,,80.9
2018,East Asia and Pacific,Fourth,WIQ,,0,,52.9
2021,East Asia and Pacific,Fourth,WIQ,,0,,51
2000,East Asia and Pacific,Middle,WIQ,,0,,8.3
2003,East Asia and Pacific,Middle,WIQ,,0,,47.6
2005,East Asia and Pacific,Middle,WIQ,,0,,15.6
2006,East Asia and Pacific,Middle,WIQ,,0,,11.5
2007,East Asia and Pacific,Middle,WIQ,,0,,65.2
2010,East Asia and Pacific,Middle,WIQ,,0,,8.1
2012,East Asia and Pacific,Middle,WIQ,,0,,67.3
2014,East Asia and Pacific,Middle,WIQ,,0,,59.5
2016,East Asia and Pacific,Middle,WIQ,,0,,64.3
2017,East Asia and Pacific,Middle,WIQ,,0,,78.9
2018,East Asia and Pacific,Middle,WIQ,,0,,56.7
2000,East Asia and Pacific,Poorest,WIQ,,0,,7.4
2003,East Asia and Pacific,Poorest,WIQ,,0,,43.5
2005,East Asia and Pacific,Poorest,WIQ,,0,,8.8
2006,East Asia and Pacific,Poorest,WIQ,,0,,13.3
2007,East Asia and Pacific,Poorest,WIQ,,0,,48.3
2010,East Asia and Pacific,Poorest,WIQ,,0,,1.1
2012,East Asia and Pacific,Poorest,WIQ,,0,,62.8
2014,East Asia and Pacific,Poorest,WIQ,,0,,37.2
2016,East Asia and Pacific,Poorest,WIQ,,0,,75.3
2017,East Asia and Pacific,Poorest,WIQ,,0,,80
2018,East Asia and Pacific,Poorest,WIQ,,0,,40.5
2021,East Asia and Pacific,Poorest,WIQ,,0,,38.6
2000,East Asia and Pacific,Richest,WIQ,,0,,5.4
2003,East Asia and Pacific,Richest,WIQ,,0,,59
2005,East Asia and Pacific,Richest,WIQ,,0,,12.8
2006,East Asia and Pacific,Richest,WIQ,,0,,3.3
2007,East Asia and Pacific,Richest,WIQ,,0,,66
2010,East Asia and Pacific,Richest,WIQ,,0,,8.3
2012,East Asia and Pacific,Richest,WIQ,,0,,61.5
2014,East Asia and Pacific,Richest,WIQ,,0,,53.6
2016,East Asia and Pacific,Richest,WIQ,,0,,76.9
2017,East Asia and Pacific,Richest,WIQ,,0,,79
2018,East Asia and Pacific,Richest,WIQ,,0,,56.7
2000,East Asia and Pacific,Second,WIQ,,0,,13
2003,East Asia and Pacific,Second,WIQ,,0,,41.7
2005,East Asia and Pacific,Second,WIQ,,0,,11.7
2006,East Asia and Pacific,Second,WIQ,,0,,13.7
2007,East Asia and Pacific,Second,WIQ,,0,,56.6
2010,East Asia and Pacific,Second,WIQ,,0,,6.3
2012,East Asia and Pacific,Second,WIQ,,0,,65.9
2014,East Asia and Pacific,Second,WIQ,,0,,42.1
2016,East Asia and Pacific,Second,WIQ,,0,,70.2
2017,East Asia and Pacific,Second,WIQ,,0,,79.4
2018,East Asia and Pacific,Second,WIQ,,0,,48.4
2021,East Asia and Pacific,Second,WIQ,,0,,65.1
