Latest Year,UNICEF Reporting Region,Countries and areas, % of Countries Above 70 Access,Value
2000,East Asia and Pacific,Viet Nam,0,13.4
2003,East Asia and Pacific,Philippines,0,35.6
2006,East Asia and Pacific,Cambodia,0,47.5
2006,East Asia and Pacific,Lao People's Democratic Republic,0,3.9
2006,East Asia and Pacific,Viet Nam,0,9.9
2008,East Asia and Pacific,Philippines,0,37.4
2010,East Asia and Pacific,Timor-Leste,1,77.6
2011,East Asia and Pacific,Cambodia,0,67.3
2012,East Asia and Pacific,Lao People's Democratic Republic,0,2
2013,East Asia and Pacific,Philippines,0,40
2014,East Asia and Pacific,Cambodia,0,57.8
2015,East Asia and Pacific,Solomon Islands,0,48.2
2016,East Asia and Pacific,Myanmar,0,49.1
2016,East Asia and Pacific,Timor-Leste,0,64.1
2017,East Asia and Pacific,Lao People's Democratic Republic,0,50.6
2017,East Asia and Pacific,Philippines,0,44.7
2018,East Asia and Pacific,Papua New Guinea,0,32.4
2019,East Asia and Pacific,Kiribati,1,85
2000,East Asia and Pacific,Lao People's Democratic Republic,0,2
2000,East Asia and Pacific,Viet Nam,0,8.1
2003,East Asia and Pacific,Philippines,0,28
2006,East Asia and Pacific,Cambodia,0,35
2006,East Asia and Pacific,Lao People's Democratic Republic,0,5
2006,East Asia and Pacific,Viet Nam,0,12.2
2008,East Asia and Pacific,Philippines,0,30.4
2009,East Asia and Pacific,Kiribati,0,59.6
2010,East Asia and Pacific,Timor-Leste,0,66
2011,East Asia and Pacific,Cambodia,0,53.3
2011,East Asia and Pacific,Viet Nam,0,5.1
2012,East Asia and Pacific,Lao People's Democratic Republic,0,3.2
2013,East Asia and Pacific,Philippines,0,40.5
2014,East Asia and Pacific,Cambodia,0,62
2015,East Asia and Pacific,Solomon Islands,0,48.5
2016,East Asia and Pacific,Myanmar,0,49.6
2016,East Asia and Pacific,Timor-Leste,0,59.3
2017,East Asia and Pacific,Lao People's Democratic Republic,0,39.5
2017,East Asia and Pacific,Philippines,0,39.2
2018,East Asia and Pacific,Papua New Guinea,0,35.7
2019,East Asia and Pacific,Kiribati,0,61.6
2000,East Asia and Pacific,Viet Nam,0,9.4
2003,East Asia and Pacific,Philippines,0,40.5
2006,East Asia and Pacific,Cambodia,0,49.5
2006,East Asia and Pacific,Lao People's Democratic Republic,0,7.5
2006,East Asia and Pacific,Viet Nam,0,13.2
2008,East Asia and Pacific,Philippines,0,48.8
2010,East Asia and Pacific,Timor-Leste,1,78.4
2011,East Asia and Pacific,Cambodia,0,59.7
2011,East Asia and Pacific,Viet Nam,0,5.3
2012,East Asia and Pacific,Lao People's Democratic Republic,0,3.8
2013,East Asia and Pacific,Philippines,0,43
2014,East Asia and Pacific,Cambodia,0,43.8
2015,East Asia and Pacific,Solomon Islands,0,68.8
2016,East Asia and Pacific,Timor-Leste,1,76.3
2017,East Asia and Pacific,Lao People's Democratic Republic,0,55.9
2017,East Asia and Pacific,Philippines,0,44.9
2018,East Asia and Pacific,Papua New Guinea,0,47.7
2019,East Asia and Pacific,Kiribati,1,76.3
2000,East Asia and Pacific,Lao People's Democratic Republic,0,4.4
2000,East Asia and Pacific,Viet Nam,0,11.9
2003,East Asia and Pacific,Philippines,0,29.7
2006,East Asia and Pacific,Cambodia,0,40.5
2006,East Asia and Pacific,Lao People's Democratic Republic,0,2.2
2006,East Asia and Pacific,Viet Nam,0,21.7
2007,East Asia and Pacific,Vanuatu,0,3.9
2008,East Asia and Pacific,Philippines,0,28.8
2010,East Asia and Pacific,Timor-Leste,1,70.3
2011,East Asia and Pacific,Cambodia,0,59.4
2011,East Asia and Pacific,Viet Nam,0,4.6
2012,East Asia and Pacific,Lao People's Democratic Republic,0,4.5
2013,East Asia and Pacific,Philippines,0,45
2014,East Asia and Pacific,Cambodia,0,53.6
2015,East Asia and Pacific,Solomon Islands,0,51.1
2016,East Asia and Pacific,Myanmar,0,54.1
2016,East Asia and Pacific,Timor-Leste,0,55.2
2017,East Asia and Pacific,Lao People's Democratic Republic,0,49.6
2017,East Asia and Pacific,Philippines,0,43.6
2018,East Asia and Pacific,Papua New Guinea,0,33
2019,East Asia and Pacific,Kiribati,0,64.5
2000,East Asia and Pacific,Mongolia,0,10.6
2003,East Asia and Pacific,Indonesia,0,47.3
2005,East Asia and Pacific,Mongolia,0,9.7
2006,East Asia and Pacific,Thailand,0,13.3
2007,East Asia and Pacific,Indonesia,0,57.6
2010,East Asia and Pacific,Mongolia,0,2.3
2012,East Asia and Pacific,Indonesia,0,65.8
2014,East Asia and Pacific,Mongolia,0,40.8
2016,East Asia and Pacific,Thailand,1,73.6
2017,East Asia and Pacific,Indonesia,1,79.1
2018,East Asia and Pacific,Mongolia,0,45.5
2021,East Asia and Pacific,Fiji,0,53.1
2022,East Asia and Pacific,Malaysia,0,3.4
2000,East Asia and Pacific,Mongolia,0,7.4
2003,East Asia and Pacific,Indonesia,0,54.6
2005,East Asia and Pacific,Mongolia,0,13.3
2006,East Asia and Pacific,Thailand,0,4.2
2007,East Asia and Pacific,Indonesia,0,59.1
2010,East Asia and Pacific,Mongolia,0,7.1
2012,East Asia and Pacific,Indonesia,0,63.2
2014,East Asia and Pacific,Mongolia,0,52.7
2016,East Asia and Pacific,Thailand,0,64.8
2017,East Asia and Pacific,Indonesia,1,80.4
2018,East Asia and Pacific,Mongolia,0,44.7
2021,East Asia and Pacific,Fiji,0,60.1
2022,East Asia and Pacific,Malaysia,0,3
2000,East Asia and Pacific,Mongolia,0,50
2003,East Asia and Pacific,Indonesia,0,31.7
2005,East Asia and Pacific,Mongolia,0,15
2006,East Asia and Pacific,Thailand,0,20.5
2007,East Asia and Pacific,Indonesia,0,45.6
2010,East Asia and Pacific,Mongolia,0,3.7
2012,East Asia and Pacific,Indonesia,0,54.6
2017,East Asia and Pacific,Indonesia,0,55.5
2000,East Asia and Pacific,Mongolia,0,8.1
2003,East Asia and Pacific,Indonesia,0,49.5
2006,East Asia and Pacific,Thailand,0,11.3
2007,East Asia and Pacific,Indonesia,0,52.3
2010,East Asia and Pacific,Mongolia,0,5.4
2012,East Asia and Pacific,Indonesia,0,66.3
2016,East Asia and Pacific,Thailand,1,74.3
2017,East Asia and Pacific,Indonesia,1,81.8
2000,East Asia and Pacific,Mongolia,0,8.4
2003,East Asia and Pacific,Indonesia,0,55
2005,East Asia and Pacific,Mongolia,0,12.1
2006,East Asia and Pacific,Thailand,0,9.6
2007,East Asia and Pacific,Indonesia,0,64.8
2010,East Asia and Pacific,Mongolia,0,4.8
2012,East Asia and Pacific,Indonesia,0,64
2014,East Asia and Pacific,Mongolia,0,45.2
2016,East Asia and Pacific,Thailand,0,62.7
2021,East Asia and Pacific,Fiji,0,55.3
2017,East Asia and Pacific,Indonesia,1,79.2
2000,East Asia and Pacific,Mongolia,0,9
2003,East Asia and Pacific,Indonesia,0,50.8
2005,East Asia and Pacific,Mongolia,0,11.1
2006,East Asia and Pacific,Thailand,0,10.9
2007,East Asia and Pacific,Indonesia,0,58.2
2010,East Asia and Pacific,Mongolia,0,4.8
2012,East Asia and Pacific,Indonesia,0,64.6
2014,East Asia and Pacific,Mongolia,0,46.8
2016,East Asia and Pacific,Thailand,1,70.7
2016,East Asia and Pacific,China,1,99.6
2017,East Asia and Pacific,China,1,99.5
2017,East Asia and Pacific,Indonesia,1,79.7
2018,East Asia and Pacific,Mongolia,0,51.3
2020,East Asia and Pacific,Tuvalu,0,55.2
2021,East Asia and Pacific,Fiji,0,57.3
2022,East Asia and Pacific,Malaysia,0,3.1
2000,East Asia and Pacific,Mongolia,0,11.3
2003,East Asia and Pacific,Indonesia,0,52.7
2005,East Asia and Pacific,Mongolia,0,10
2006,East Asia and Pacific,Thailand,0,8.5
2007,East Asia and Pacific,Indonesia,0,57.4
2010,East Asia and Pacific,Mongolia,0,2.3
2012,East Asia and Pacific,Indonesia,0,62.5
2014,East Asia and Pacific,Mongolia,0,44.3
2016,East Asia and Pacific,Thailand,0,67.1
2017,East Asia and Pacific,Indonesia,1,81.3
2018,East Asia and Pacific,Mongolia,0,50.9
2020,East Asia and Pacific,Tuvalu,0,47
2021,East Asia and Pacific,Fiji,0,61.9
2022,East Asia and Pacific,Malaysia,0,3
2000,East Asia and Pacific,Mongolia,0,6.8
2003,East Asia and Pacific,Indonesia,0,49
2005,East Asia and Pacific,Mongolia,0,11.9
2006,East Asia and Pacific,Thailand,0,12.9
2007,East Asia and Pacific,Indonesia,0,58.8
2010,East Asia and Pacific,Mongolia,0,6.9
2012,East Asia and Pacific,Indonesia,0,66.3
2014,East Asia and Pacific,Mongolia,0,49.2
2016,East Asia and Pacific,Thailand,1,73.8
2017,East Asia and Pacific,Indonesia,1,78.3
2018,East Asia and Pacific,Mongolia,0,51.6
2020,East Asia and Pacific,Tuvalu,0,59.8
2021,East Asia and Pacific,Fiji,0,54.3
2022,East Asia and Pacific,Malaysia,0,3.2
2000,East Asia and Pacific,Mongolia,0,11.6
2003,East Asia and Pacific,Indonesia,0,66.5
2005,East Asia and Pacific,Mongolia,0,6.6
2006,East Asia and Pacific,Thailand,0,9
2007,East Asia and Pacific,Indonesia,0,63.4
2012,East Asia and Pacific,Indonesia,0,65
2014,East Asia and Pacific,Mongolia,0,48.7
2016,East Asia and Pacific,Thailand,0,66.2
2017,East Asia and Pacific,Indonesia,1,80.9
2018,East Asia and Pacific,Mongolia,0,52.9
2021,East Asia and Pacific,Fiji,0,51
2000,East Asia and Pacific,Mongolia,0,8.3
2003,East Asia and Pacific,Indonesia,0,47.6
2005,East Asia and Pacific,Mongolia,0,15.6
2006,East Asia and Pacific,Thailand,0,11.5
2007,East Asia and Pacific,Indonesia,0,65.2
2010,East Asia and Pacific,Mongolia,0,8.1
2012,East Asia and Pacific,Indonesia,0,67.3
2014,East Asia and Pacific,Mongolia,0,59.5
2016,East Asia and Pacific,Thailand,0,64.3
2017,East Asia and Pacific,Indonesia,1,78.9
2018,East Asia and Pacific,Mongolia,0,56.7
2000,East Asia and Pacific,Mongolia,0,7.4
2003,East Asia and Pacific,Indonesia,0,43.5
2005,East Asia and Pacific,Mongolia,0,8.8
2006,East Asia and Pacific,Thailand,0,13.3
2007,East Asia and Pacific,Indonesia,0,48.3
2010,East Asia and Pacific,Mongolia,0,1.1
2012,East Asia and Pacific,Indonesia,0,62.8
2014,East Asia and Pacific,Mongolia,0,37.2
2016,East Asia and Pacific,Thailand,1,75.3
2017,East Asia and Pacific,Indonesia,1,80
2018,East Asia and Pacific,Mongolia,0,40.5
2021,East Asia and Pacific,Fiji,0,38.6
2000,East Asia and Pacific,Mongolia,0,5.4
2003,East Asia and Pacific,Indonesia,0,59
2005,East Asia and Pacific,Mongolia,0,12.8
2006,East Asia and Pacific,Thailand,0,3.3
2007,East Asia and Pacific,Indonesia,0,66
2010,East Asia and Pacific,Mongolia,0,8.3
2012,East Asia and Pacific,Indonesia,0,61.5
2014,East Asia and Pacific,Mongolia,0,53.6
2016,East Asia and Pacific,Thailand,1,76.9
2017,East Asia and Pacific,Indonesia,1,79
2018,East Asia and Pacific,Mongolia,0,56.7
2000,East Asia and Pacific,Mongolia,0,13
2003,East Asia and Pacific,Indonesia,0,41.7
2005,East Asia and Pacific,Mongolia,0,11.7
2006,East Asia and Pacific,Thailand,0,13.7
2007,East Asia and Pacific,Indonesia,0,56.6
2010,East Asia and Pacific,Mongolia,0,6.3
2012,East Asia and Pacific,Indonesia,0,65.9
2014,East Asia and Pacific,Mongolia,0,42.1
2016,East Asia and Pacific,Thailand,1,70.2
2017,East Asia and Pacific,Indonesia,1,79.4
2018,East Asia and Pacific,Mongolia,0,48.4
2021,East Asia and Pacific,Fiji,0,65.1
